iteration,runtime,r2_score,mape_score,mae_score,max_depth,min_samples_split,min_samples_leaf,n_estimators,hyperparameters
42,68.13770958700115,0.5659577176414985,6.057126775582781,0.2988316498939326,15,4,7,980,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 7, 'n_estimators': 980}"
43,15.880191135001951,0.5865105247530004,6.0698667720231425,0.2998393616462732,17,8,4,418,"{'bootstrap': False, 'max_depth': 17, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 4, 'n_estimators': 418}"
44,29.144691721001436,0.5661001586525151,6.009075408776767,0.29671037821372037,95,9,10,360,"{'bootstrap': True, 'max_depth': 95, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 10, 'n_estimators': 360}"
45,23.553130977001274,0.5415324473183185,6.575629247251667,0.3249305554339329,13,9,2,922,"{'bootstrap': True, 'max_depth': 13, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 2, 'n_estimators': 922}"
46,73.39777695799785,0.570861968657757,5.9626273989281176,0.29442151710310943,77,7,9,1000,"{'bootstrap': True, 'max_depth': 77, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 9, 'n_estimators': 1000}"
47,76.94500064699969,0.43196276074303797,6.252031757305176,0.3100211979080128,43,2,4,612,"{'bootstrap': False, 'max_depth': 43, 'max_features': 'auto', 'min_samples_split': 2, 'min_samples_leaf': 4, 'n_estimators': 612}"
48,11.030419815997448,0.5900983977105658,5.995847103443505,0.2963839413187535,77,2,6,185,"{'bootstrap': False, 'max_depth': 77, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 6, 'n_estimators': 185}"
49,15.65687528199851,0.5617252329700192,6.335915242452964,0.31338589876621115,23,8,7,476,"{'bootstrap': True, 'max_depth': 23, 'max_features': 'log2', 'min_samples_split': 8, 'min_samples_leaf': 7, 'n_estimators': 476}"
50,23.452291245001106,0.5456835922857137,6.5018686854111705,0.32203209815341294,71,4,10,844,"{'bootstrap': True, 'max_depth': 71, 'max_features': 'log2', 'min_samples_split': 4, 'min_samples_leaf': 10, 'n_estimators': 844}"
51,107.55744711900115,0.4426522930564035,6.235037892514324,0.30882701638476184,69,10,6,922,"{'bootstrap': False, 'max_depth': 69, 'max_features': 'auto', 'min_samples_split': 10, 'min_samples_leaf': 6, 'n_estimators': 922}"
52,5.767481494000094,0.6070261228024336,5.690873332802928,0.28133936651603425,29,2,3,88,"{'bootstrap': False, 'max_depth': 29, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 3, 'n_estimators': 88}"
53,30.237575677001587,0.5784995112571307,5.873531683792973,0.2898577206123908,63,4,7,360,"{'bootstrap': True, 'max_depth': 63, 'max_features': 'auto', 'min_samples_split': 4, 'min_samples_leaf': 7, 'n_estimators': 360}"
54,24.55484642400188,0.6032440672872822,5.801666231478542,0.2866535992695395,67,3,4,670,"{'bootstrap': False, 'max_depth': 67, 'max_features': 'log2', 'min_samples_split': 3, 'min_samples_leaf': 4, 'n_estimators': 670}"
