iteration,runtime,r2_score,mape_score,mae_score,max_depth,min_samples_split,min_samples_leaf,n_estimators,hyperparameters
31,11.456573682000453,0.5304325511452799,6.697054069893335,0.3313549843840087,15,7,5,302,"{'bootstrap': True, 'max_depth': 15, 'max_features': 'log2', 'min_samples_split': 7, 'min_samples_leaf': 5, 'n_estimators': 302}"
32,76.75280549799936,0.4001295505179631,6.60967529520141,0.32738323092733645,29,8,10,631,"{'bootstrap': False, 'max_depth': 29, 'max_features': 'auto', 'min_samples_split': 8, 'min_samples_leaf': 10, 'n_estimators': 631}"
33,81.08905471699836,0.5656570929559599,5.968136912901546,0.2940989254951438,49,9,3,864,"{'bootstrap': True, 'max_depth': 49, 'max_features': 'auto', 'min_samples_split': 9, 'min_samples_leaf': 3, 'n_estimators': 864}"
34,56.114245097000094,0.5594604489377862,6.040615890535066,0.2980190811878992,31,2,5,631,"{'bootstrap': True, 'max_depth': 31, 'max_features': 'auto', 'min_samples_split': 2, 'min_samples_leaf': 5, 'n_estimators': 631}"
35,6.254122587000893,0.5184570108725638,6.796381288855402,0.336586328438157,95,5,10,108,"{'bootstrap': True, 'max_depth': 95, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 10, 'n_estimators': 108}"
36,27.528312043999904,0.2424104950025685,8.311749118462506,0.41219632911380877,5,2,5,476,"{'bootstrap': False, 'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 2, 'min_samples_leaf': 5, 'n_estimators': 476}"
37,26.97276721000162,0.5613718160054635,6.288810024091408,0.3115126847038655,47,5,7,864,"{'bootstrap': False, 'max_depth': 47, 'max_features': 'log2', 'min_samples_split': 5, 'min_samples_leaf': 7, 'n_estimators': 864}"
38,57.63451562699993,0.4685944345944222,7.0719129756152395,0.3487528360921265,9,6,2,1000,"{'bootstrap': True, 'max_depth': 9, 'max_features': 'auto', 'min_samples_split': 6, 'min_samples_leaf': 2, 'n_estimators': 1000}"
39,39.84199359200284,0.39513232989950325,6.617831322942179,0.32749449035875544,79,3,8,302,"{'bootstrap': False, 'max_depth': 79, 'max_features': 'auto', 'min_samples_split': 3, 'min_samples_leaf': 8, 'n_estimators': 302}"
40,22.48148932299955,0.5312228527928269,6.683869831639674,0.33120373935527186,21,4,8,844,"{'bootstrap': True, 'max_depth': 21, 'max_features': 'log2', 'min_samples_split': 4, 'min_samples_leaf': 8, 'n_estimators': 844}"
41,65.62047406500278,0.3921265364845549,6.53625820765734,0.32416414276731925,45,10,5,476,"{'bootstrap': False, 'max_depth': 45, 'max_features': 'auto', 'min_samples_split': 10, 'min_samples_leaf': 5, 'n_estimators': 476}"
42,23.646417457999632,0.5459813529010494,6.498015478795912,0.32194316181345445,47,9,6,825,"{'bootstrap': True, 'max_depth': 47, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 6, 'n_estimators': 825}"
43,79.67291249499976,0.40004078449815916,6.607594665213202,0.32729883695225326,81,5,10,651,"{'bootstrap': False, 'max_depth': 81, 'max_features': 'auto', 'min_samples_split': 5, 'min_samples_leaf': 10, 'n_estimators': 651}"
44,24.451476434998767,0.3942256512220602,6.595432192558709,0.3264979337110848,29,7,7,166,"{'bootstrap': False, 'max_depth': 29, 'max_features': 'auto', 'min_samples_split': 7, 'min_samples_leaf': 7, 'n_estimators': 166}"
45,11.250313024997013,0.5683188239853252,6.170244864993126,0.3054219823101899,69,9,2,243,"{'bootstrap': True, 'max_depth': 69, 'max_features': 'log2', 'min_samples_split': 9, 'min_samples_leaf': 2, 'n_estimators': 243}"
46,25.616781975997583,0.5789119482323146,6.0096708052407255,0.2971840582174137,45,2,2,612,"{'bootstrap': True, 'max_depth': 45, 'max_features': 'log2', 'min_samples_split': 2, 'min_samples_leaf': 2, 'n_estimators': 612}"
